Country,First Name,Last Name,Wikipedia URL,Summary
fr,François,Hollande,https://fr.wikipedia.org/wiki/François_Hollande,"François Hollande[fʁɑ̃swaɔlɑ̃d][n 3]Écouterⓘ, né le12 août 1954àRouen(Seine-Inférieure), est unhaut fonctionnaireethomme d'Étatfrançais. Il estprésident de la République françaisedu15 mai 2012au14 mai 2017."
fr,Nicolas,Sarkozy,https://fr.wikipedia.org/wiki/Nicolas_Sarkozy,"« Sarkozy » redirige ici. Pour les autres significations, voirSarkozy (homonymie),NagyetBocșa."
fr,François,Mitterrand,https://fr.wikipedia.org/wiki/François_Mitterrand,"« Mitterrand » redirige ici.  Pour les autres significations, voirMitterrand (homonymie)."
fr,Charles,de Gaulle,https://fr.wikipedia.org/wiki/Charles_de_Gaulle,"« De Gaulle » redirige ici. Pour les autres membres de la famille, voirFamille de Gaulle."
fr,Jacques,Chirac,https://fr.wikipedia.org/wiki/Jacques_Chirac,"Jacques Chirac(/ʒakʃiʁak/[b]Écouterⓘ), né le29 novembre 1932dans le5earrondissementdePariset mort le26 septembre 2019dans le6earrondissementdela même ville, est unhaut fonctionnaireethomme d'Étatfrançais. Il estPremier ministrede 1974 à 1976 ainsi que de 1986 à 1988, puisprésident de la Républiquedu17 mai 1995au16 mai 2007."
fr,Valéry,Giscard d'Estaing,https://fr.wikipedia.org/wiki/Valéry_Giscard_d'Estaing,"« Giscard » et « VGE » redirigent ici. Pour les autres significations, voirGiscard (homonymie)etVGE (homonymie)."
fr,Georges,Pompidou,https://fr.wikipedia.org/wiki/Georges_Pompidou,"Georges Pompidou(Écouterⓘ), né le5 juillet 1911àMontboudif(Cantal) et mort le2 avril 1974àParis4e, est unhaut fonctionnaireethomme d'Étatfrançais. Il estPremier ministredu14 avril 1962au10 juillet 1968etprésident de la Républiquedu20 juin 1969jusqu'à sa mort le 2 avril 1974."
fr,Adolphe,Thiers,https://fr.wikipedia.org/wiki/Adolphe_Thiers,"Cet article concerne l'homme d'État. Pour l'architecte, voirAdolphe Thiers (architecte)."
fr,Napoléon,Bonaparte,https://fr.wikipedia.org/wiki/Napoléon_III,"Pour les articles homonymes, voirLouis-Napoléon Bonaparte (homonymie),Napoléon (homonymie)etBonaparte (homonymie)."
fr,Paul,Doumer,https://fr.wikipedia.org/wiki/Paul_Doumer,"Joseph Athanase Doumer, ditPaul Doumer, né le22 mars 1857àAurillac(Cantal) et mortassassinéle7 mai 1932àParis(Seine), est unhomme d'Étatfrançais. Il estprésident de la Républiquedu13 juin 1931à sa mort."
be,Guy,Verhofstadt,https://nl.wikipedia.org/wiki/Guy_Verhofstadt,"Guy Maurice Marie-Louise Verhofstadt(uitspraakⓘ) (Dendermonde,11 april1953) is eenBelgischpoliticusvoor deOpen Vlaamse Liberalen en Democraten(Open Vld). Hij waspremier van Belgiëvan 12 juli 1999 tot 20 maart 2008 in drie regeringen. Hij beëindigde zijn actieve politieke carrière in hetEuropees Parlement, waar hij van 2009 tot 2019 fractieleider van deAlliantie van Liberalen en Democraten voor Europa(ALDE) was."
be,Yves,Leterme,https://nl.wikipedia.org/wiki/Yves_Leterme,"Yves Camille Désiré Leterme(Wervik,6 oktober1960) is een voormaligBelgischpoliticus. Hij was onder meerVlaams minister-presidentenpremier van België. Hij was lang boegbeeld van deCD&Ven boegbeeld van het toenmalige kartelCD&V/N-VA."
